cell_id,Roads:number_intersections,Roads:diversity,Roads:total,Buildings:diversity,Buildings:total,LandUse:Mix,TrafficPoints:crossing,poisAreas:area_park,poisAreas:area_pitch,pois:diversity,pois:total,ThirdPlaces:oa_count,ThirdPlaces:edt_count,ThirdPlaces:out_count,ThirdPlaces:cv_count,ThirdPlaces:diversity,ThirdPlaces:total,vertical_density,buildings_age,buildings_age:diversity,most_present_age
2064_3_2,0.22677028,1.563473457,0.390026063,1.837212789,0.014114333,6.06E-11,0,1.11E-09,6.98E-10,4.427880881,0.022112455,0.005645733,0.002822867,0.003763822,0.003293344,0.000635265,0.015525766,2.218832891,68.12599469,1.797365638,age_30_40
2064_3_3,0.062573542,1.454318499,0.104446063,0.298758058,0.013643855,1.12E-11,0.000470478,9.02E-11,4.24E-10,3.702232886,0.013643855,0.002352389,0.002822867,0.002352389,0.003293344,0.00064742,0.010820988,2.606623586,61.6595315,1.846574212,age_over_60
2064_3_0,0.065396409,1.550746224,0.111503229,0,0.000470478,1.46E-12,0.000470478,5.24E-10,0,2.216102248,0.005175255,0.000470478,0,0.000470478,0,0.00032611,0.000940956,1.809859155,72.37147887,1.583001363,age_over_60
2064_0_1,0.153846228,1.506022885,0.286991434,0.347066826,0.016466722,1.42E-11,0,0,3.41E-10,2.732817947,0.040931565,0.001881911,0.003293344,0.000940956,0.000470478,0.000550928,0.006586689,1.870117498,33.99190219,1.811510829,age_under_18
2064_0_2,0.131263295,1.733713027,0.24370748,1.002718265,0.0042343,9.93E-11,0,1.05E-11,3.73E-10,4.52740965,0.014114333,0.002352389,0.001411433,0.002352389,0,0.000505008,0.006116211,1.959843291,39.88932419,1.940555661,age_over_60
2064_0_3,0.095036508,1.469184793,0.166078649,0,0.000470478,0,0,0,8.79E-11,1.039720771,0.002352389,0.000940956,0,0.000470478,0,0.000299466,0.001411433,2.050303556,57.09843886,1.838669991,age_over_60
2064_0_0,0.07151262,1.454295515,0.129851862,0,0.003293344,0,0,0,0,0.500402424,0.002352389,0,0,0,0,0,0,1.626865672,39.10244233,1.715457747,age_over_60
2097_1_1,0.264878979,1.565060497,0.471889193,0.11085089,0.07762883,6.84E-10,0.000940956,8.77E-10,1.29E-09,4.862489449,0.024935321,0.003293344,0.003763822,0.007057166,0.003763822,0.000627903,0.017878155,2.086891386,40.35580524,1.958606591,age_50_60
2097_1_2,0.207010214,1.51474952,0.346742109,0.63903186,0.004704778,1.07E-10,0,1.07E-10,5.63E-10,1.473502385,0.006116211,0.000940956,0,0.003293344,0.000470478,0.000377238,0.004704778,2.311557789,55.46432161,1.92250829,age_50_60
2097_1_3,0.387673674,1.559272667,0.707128074,0,0.08186313,3.65E-13,0,8.77E-11,3.93E-10,3.696802767,0.009409555,0.000940956,0.001411433,0.001881911,0,0.00049911,0.0042343,2.421906694,54.2505071,1.9528644,age_over_60
2097_1_0,0.449776739,1.561388319,0.81910178,0.031479066,0.094095552,5.11E-10,0,2.25E-09,4.91E-10,4.042142559,0.05034112,0.000940956,0.005175255,0.005175255,0.001881911,0.000564852,0.013173377,2.416946873,56.99058507,1.979856177,age_30_40
2097_2_1,0.051282076,1.466629822,0.092213641,0,0,4.31E-11,0.000470478,0,9.67E-11,0.693147181,0.001411433,0,0.000470478,0.000470478,0,0.00032611,0.000940956,2.368,54.74857143,2.052322449,age_30_40
2097_2_2,0.049870643,1.496759446,0.085626952,0,0,0,0,0,3.69E-10,2.501356744,0.009880033,0,0.003293344,0.000470478,0.001411433,0.000404595,0.005175255,2.379310345,56.98321234,1.908237882,age_over_60
2097_2_3,0.139261417,1.458218452,0.240884613,0.450561209,0.002822867,3.84E-11,0.002822867,4.28E-10,4.15E-10,3.724365396,0.014114333,0.003293344,0.000470478,0.003293344,0,0.000419604,0.007057166,2.353,67.038,1.819569808,age_50_60
2097_2_0,0.19948257,1.466594863,0.346271631,0.867563228,0.002822867,4.91E-11,0.000470478,6.58E-10,2.76E-11,3.470252914,0.0084686,0.000470478,0.000940956,0.000940956,0.001411433,0.000621449,0.003763822,2.257270694,62.86539896,1.909759423,age_over_60
2097_3_1,0.118089918,1.54631959,0.218301681,0,0,0,0,0,4.04E-10,2.371899811,0.0042343,0.000470478,0.000470478,0.000940956,0,0.000489165,0.001881911,2.388768898,73.17818575,1.495029414,age_over_60
2097_3_2_1,0.175017727,1.433366058,0.321806788,0,0,9.08E-12,0.001881911,0,0,0,0.003763822,0,0,0,0,0,0,2.385204082,71.91071429,1.683145132,age_40_50
2097_3_2_2,0.10915084,1.65380465,0.212655948,0,0.001881911,0,0,0,0,0,0,0,0,0,0,0,0,2.588571429,49.23142857,1.703579185,age_40_50
2097_3_2_3,0.25405799,1.343190408,0.444131006,0,0,0,0,0,1.39E-09,0,0.003763822,0,0,0.001881911,0,0,0.001881911,2.491150442,61.87168142,1.531203989,age_40_50
2097_3_2_0,0.129851862,1.504600915,0.240884613,0,0,0,0,0,0,0,0.003763822,0,0,0,0,0,0,2.452214452,68.35081585,1.76247938,age_over_60
2097_3_3,0.038579176,1.735695357,0.07151262,0,0.001411433,3.21E-11,0,0,4.22E-10,0.693147181,0.001881911,0,0,0.000940956,0,0,0.000940956,2.37347561,76.77896341,1.508143455,age_over_60
2097_3_0,0.092684119,1.619768886,0.168901516,0,0,1.05E-12,0,0,0,1.609437912,0.005175255,0,0,0,0,0,0,1.821818182,71.60181818,1.565835053,age_over_60
2097_0_1,0.057868764,1.127984692,0.101623196,0,0.004704778,0,0,0,0,2.470870426,0.0084686,0,0,0,0,0,0,1.5,65.625,1.386294361,age_50_60
2097_0_2,0.257351335,1.612174722,0.465302505,0,0.002822867,2.50E-11,0,2.27E-10,7.74E-10,3.727065402,0.026817232,0,0.001881911,0.003293344,0,0.00030839,0.005175255,2.605084746,62.75,1.909092706,age_over_60
2097_0_3,0.12608804,1.702997961,0.231945536,0,0.000470478,1.47E-11,0,0,6.19E-10,3.233520889,0.017878155,0.000940956,0,0.001411433,0.000470478,0.000475843,0.002822867,2.172727273,70.24715909,1.64806426,age_over_60
2097_0_0,0.191954926,1.588519004,0.333568732,0.562335145,0.001881911,0,0,0,3.71E-10,3.657247172,0.013173377,0.001881911,0.000470478,0.001411433,0.000470478,0.000571579,0.0042343,2.814229249,53.1284585,1.972429286,age_over_60
2100_1,0.232298394,1.497291418,0.410374226,0.069315372,0.009056697,3.21E-11,0.000117619,1.34E-10,2.84E-10,4.454863369,0.009880033,0.000352858,0.000705717,0.00211715,0.000588097,0.000135201,0.003763822,1.852705882,57.66423529,1.905548357,age_over_60
2100_2,0.127969951,1.550243322,0.222888839,0.562335145,0.000470478,9.87E-12,0.000117619,6.19E-11,1.97E-10,4.96033164,0.008939077,0.000588097,0.001176194,0.001764292,0.000705717,0.000152129,0.0042343,2.047156727,69.88095238,1.678631891,age_50_60
3415_1,0.421195215,1.201411644,0.672900816,1.66657798,0.020348163,3.47E-10,0.000117619,7.54E-09,1.49E-09,5.236867006,0.044224909,0.003646203,0.011409086,0.010820988,0.003763822,0.000147635,0.029640099,2.124985064,34.63926395,1.926081665,age_50_60
3415_2,0.068807372,1.397649,0.121148023,1.576028727,0.002234769,4.96E-10,0,3.31E-10,1.78E-10,3.668082268,0.003410964,0.000117619,0.000588097,0.001646672,0.000235239,0.000115602,0.002587628,1.762145749,33.71255061,1.871186997,age_50_60
3415_3_1,0.239943658,1.322828971,0.418725207,0.974087451,0.0127029,1.73E-10,0,1.95E-10,4.91E-10,1.427061043,0.004704778,0.001881911,0,0.002352389,0.000470478,0.000443824,0.004704778,1.450772201,31.25313707,1.878689416,age_50_60
3415_3_2,0.096447941,1.768468426,0.175488205,1.42865689,0.041872521,5.55E-11,0,1.25E-10,4.64E-10,3.730227342,0.009880033,0.002352389,0.000940956,0.003293344,0.001411433,0.000603704,0.007998122,1.565277778,35.93888889,1.731738714,age_50_60
3415_0_1_1_1,0.158080527,1.083408176,0.27099519,0,0.007527644,4.69E-10,0,0,0,0.693147181,0.022582932,0,0,0,0,0,0,2.037974684,37.24050633,1.141414047,age_50_60
3415_0_1_1_2,1.93460455,0.961693011,3.379912229,0,0.007527644,2.07E-09,0,1.29E-08,0,0.693147181,0.030110577,0,0,0.022582932,0,0,0.022582932,2.052525253,27.29040404,1.481789665,age_over_60
3415_0_1_1_3,0.639849754,0.993785216,1.189367778,0,0.007527644,1.25E-09,0,1.57E-08,3.83E-10,1.329661349,0.037638221,0,0,0.015055288,0,0,0.015055288,1.988479263,27.11981567,1.498881711,age_over_60
3415_0_1_1_0,0.873206723,0.823290311,1.287227152,0,0,1.75E-09,0,2.59E-09,0,3.01196775,0.112914662,0.007527644,0.015055288,0.022582932,0.015055288,0.009943177,0.060221153,2.338629593,26.99702085,1.410825006,age_over_60
3415_0_1_2,1.319219639,1.059873168,2.27899427,0.693147181,0.007527644,1.72E-09,0.001881911,5.91E-09,1.93E-09,3.545067024,0.050811598,0.011291466,0.005645733,0.01881911,0.001881911,0.002149368,0.037638221,1.884840764,26.49363057,1.550585442,age_over_60
3415_0_1_3,0.353799276,1.54117502,0.634204021,0,0.007527644,9.46E-10,0,3.19E-09,1.80E-10,1.386294361,0.009409555,0.003763822,0.001881911,0.003763822,0,0.001985266,0.009409555,1.755,31.17285714,1.555135836,age_under_18
3415_0_1_0,0.163726261,1.104778,0.2898143,0,0.001881911,6.86E-10,0,0,1.45E-09,0.693147181,0.007527644,0,0,0.001881911,0.003763822,0.001197863,0.005645733,1.955696203,25.93670886,1.526243847,age_over_60
3415_0_2,0.310515322,1.283244373,0.542460857,0.693147181,0.000940956,1.73E-10,0,0,1.56E-10,3.163199521,0.006586689,0.000940956,0.001881911,0.001881911,0,0.000496316,0.004704778,1.600263418,28.00246954,1.849926602,age_under_18
3415_0_3,0.201834959,1.463744382,0.360856442,0.581900998,0.053163987,3.34E-10,0,3.81E-10,3.33E-10,3.629252905,0.007527644,0.003293344,0.000470478,0.001881911,0.000470478,0.000513103,0.006116211,1.52496124,33.34651163,1.404098677,age_under_18
3415_0_0,0.158080527,1.349281501,0.278052356,0.562335145,0.001881911,2.38E-10,0,8.63E-11,3.08E-10,1.609437912,0.002352389,0.000470478,0,0.001411433,0,0.000264566,0.001881911,1.588954911,33.50367005,1.426227655,age_over_60
3416,0.033756779,1.168544047,0.054134347,0,0.000558692,6.38E-11,0,2.07E-10,6.05E-11,4.312672908,0.001440838,5.88E-05,0.000323453,0.000499883,0.000147024,3.40E-05,0.00102917,1.905102954,29.88649444,1.656561818,age_over_60
3417_1,0.141143328,1.212600131,0.225594086,1.906154747,0.000940956,2.81E-10,0.001176194,7.67E-11,1.48E-10,4.784080052,0.013996713,0.001058575,0.005998591,0.001411433,0.001529053,0.0001303,0.009997652,2.181565024,34.95446951,1.801642747,age_under_18
3417_2_1_1,0.348153543,1.138132196,0.566455223,0,0.001881911,4.84E-10,0,0,0,2.94700477,0.01881911,0,0.005645733,0.001881911,0.005645733,0.001889895,0.013173377,1.890849673,26.15686275,1.676341714,age_40_50
3417_2_1_2,0.27099519,1.500195377,0.498706426,0,0,2.55E-10,0,0,0,0,0.001881911,0,0,0,0,0,0,1.796766744,26.38770208,1.311946339,age_under_18
3417_2_1_3,0.474241582,0.967884134,0.743354861,0,0,1.29E-09,0,0,0,1.098612289,0.005645733,0,0,0,0.003763822,0,0.003763822,1.726645588,23.78743892,1.684597085,age_under_18
3417_2_1_0,0.338743987,0.974541594,0.517525536,0,0.001881911,8.84E-10,0,1.20E-08,0,1.732867951,0.011291466,0.003763822,0.001881911,0.003763822,0.003763822,0.002543937,0.013173377,1.732805336,21.15464777,1.755586954,age_under_18
3417_2_2,0.196659704,1.370415716,0.35709262,1.039720771,0.001881911,2.94E-10,0,0,0,2.430791329,0.003763822,0.000940956,0,0,0,0,0.000940956,1.76765893,28.78670535,1.439187238,age_under_18
3417_2_3,0.107268929,1.483785744,0.198071137,1.24698264,0.008939077,8.63E-11,0,0,0,0,0.000470478,0,0,0,0,0,0,1.739565943,31.13689482,1.523114874,age_over_60
3417_2_0_1,0.278522834,1.144057745,0.464832027,0,0,3.72E-10,0,0,0,0,0.001881911,0.001881911,0,0,0.001881911,0.001304441,0.003763822,1.860279441,22.79191617,1.78883932,age_under_18
3417_2_0_2,0.237120791,1.198889936,0.453540561,0,0,2.25E-10,0,0,7.12E-10,0.562335145,0.007527644,0,0,0.005645733,0,0,0.005645733,1.834054834,20.98051948,1.773867904,age_under_18
3417_2_0_3,0.227711236,1.448481416,0.421548073,0,0.001881911,2.50E-10,0,1.71E-09,0,0,0.001881911,0,0,0.001881911,0,0,0.001881911,1.789687924,27.6953867,1.755445121,age_under_18
